Acceleration - Average Points,215th,36.33,
Acceleration - Best Result,28th,1st,x2
Acceleration - Total,388th,181.65,
AutoX - Average Points,179th,56.87,
AutoX - Best Result,46th,1st,x1
AutoX - Total,353rd,284.37,
Business Presentation - Average Points,142nd,55.08,
Business Presentation - Best Result,290th,6th,x1
Business Presentation - Total,451st,275.4,
Cost - Average Points,111th,69.05,
Cost - Best Result,224th,4th,x1
Cost - Total,442nd,345.27,
Endurance - Average Points,11th,195.0,
Endurance - Best Result,16th,1st,x3
Endurance - Total,213th,975.0,
Engineering Design - Average Points,62nd,105.0,
Engineering Design - Best Result,113th,3rd,x1
Engineering Design - Total,410th,525.0,
Fuel - Average Points,9th,57.05,
Fuel - Best Result,12th,1st,x2
Fuel - Total,185th,285.26,
Points - Average Points,41st,576.6,
Points - Total,354th,2883,
Skidpad - Average Points,540th,4.43,
Skidpad - Best Result,250th,7th,x1
Skidpad - Total,546th,22.15,
