AutoX - Average Points,392nd,29.0,
AutoX - Best Result,608th,34th,x1
AutoX - Total,516th,87.01,
Business Presentation - Average Points,148th,54.68,
Business Presentation - Best Result,357th,8th,x1
Business Presentation - Total,573rd,164.04,
Cost - Average Points,736th,25.9,
Cost - Best Result,562nd,18th,x1
Cost - Total,680th,77.7,
Endurance - Average Points,633rd,2.0,
Endurance - Best Result,651st,58th,x1
Endurance - Total,638th,6.0,
Engineering Design - Average Points,736th,38.33,
Engineering Design - Best Result,802nd,55th,x1
Engineering Design - Total,676th,115.0,
Points - Average Points,638th,149.67,
Points - Total,645th,449,
