Acceleration - Average Points,28th,57.77,
Acceleration - Best Result,83rd,2nd,x4
Acceleration - Total,6th,2599.78,
AutoX - Average Points,46th,87.78,
AutoX - Best Result,5th,1st,x8
AutoX - Total,9th,3950.17,
Business Presentation - Average Points,73rd,58.18,
Business Presentation - Best Result,27th,1st,x2
Business Presentation - Total,10th,2618.03,
Cost - Average Points,27th,76.44,
Cost - Best Result,9th,1st,x4
Cost - Total,6th,3439.67,
Endurance - Average Points,7th,202.81,
Endurance - Best Result,3rd,1st,x10
Endurance - Total,3rd,9126.35,
Engineering Design - Average Points,14th,124.51,
Engineering Design - Best Result,5th,1st,x10
Engineering Design - Total,7th,5602.8,
Fuel - Average Points,26th,42.61,
Fuel - Best Result,41st,1st,x1
Fuel - Total,4th,1917.62,
Points - Average Points,5th,700.76,
Points - Total,5th,31534,
Skidpad - Average Points,5th,51.26,
Skidpad - Best Result,6th,1st,x7
Skidpad - Total,4th,2306.63,
