Acceleration - Average Points,337th,27.21,
Acceleration - Best Result,436th,13th,x1
Acceleration - Total,259th,408.14,
AutoX - Average Points,394th,29.22,
AutoX - Best Result,334th,9th,x1
AutoX - Total,298th,438.33,
Business Presentation - Average Points,320th,48.47,
Business Presentation - Best Result,193rd,3rd,x1
Business Presentation - Total,243rd,727.04,
Cost - Average Points,492nd,50.32,
Cost - Best Result,451st,10th,x1
Cost - Total,283rd,754.74,
Endurance - Average Points,405th,36.51,
Endurance - Best Result,252nd,6th,x2
Endurance - Total,315th,547.65,
Engineering Design - Average Points,279th,77.62,
Engineering Design - Best Result,539th,18th,x2
Engineering Design - Total,249th,1164.34,
Fuel - Average Points,47th,35.61,
Fuel - Best Result,88th,2nd,x2
Fuel - Total,90th,534.18,
Points - Average Points,313th,320.67,
Points - Total,259th,4810,
Skidpad - Average Points,179th,24.3,
Skidpad - Best Result,214th,5th,x1
Skidpad - Total,185th,364.57,
