Acceleration - Average Points,237th,34.74,
Acceleration - Best Result,447th,14th,x1
Acceleration - Total,246th,451.66,
AutoX - Average Points,147th,61.89,
AutoX - Best Result,54th,1st,x1
AutoX - Total,203rd,804.53,
Business Presentation - Average Points,725th,31.04,
Business Presentation - Best Result,664th,25th,x2
Business Presentation - Total,395th,403.47,
Cost - Average Points,823rd,10.3,
Cost - Best Result,744th,35th,x1
Cost - Total,624th,133.86,
Endurance - Average Points,150th,103.91,
Endurance - Best Result,445th,14th,x1
Endurance - Total,173rd,1350.86,
Engineering Design - Average Points,579th,55.25,
Engineering Design - Best Result,461st,14th,x1
Engineering Design - Total,371st,718.25,
Fuel - Average Points,81st,28.29,
Fuel - Best Result,345th,10th,x1
Fuel - Total,143rd,367.73,
Points - Average Points,294th,330.31,
Points - Total,279th,4294,
Skidpad - Average Points,395th,11.13,
Skidpad - Best Result,357th,11th,x1
Skidpad - Total,335th,144.69,
