Acceleration - Average Points,553rd,10.49,
Acceleration - Best Result,547th,23rd,x1
Acceleration - Total,403rd,178.4,
AutoX - Average Points,572nd,10.19,
AutoX - Best Result,596th,30th,x1
AutoX - Total,435th,173.22,
Business Presentation - Average Points,484th,42.33,
Business Presentation - Best Result,489th,12th,x1
Business Presentation - Total,246th,719.64,
Cost - Average Points,334th,58.86,
Cost - Best Result,68th,1st,x1
Cost - Total,206th,1000.6,
Endurance - Average Points,489th,21.31,
Endurance - Best Result,391st,11th,x1
Endurance - Total,377th,362.24,
Engineering Design - Average Points,615th,52.14,
Engineering Design - Best Result,530th,17th,x1
Engineering Design - Total,317th,886.46,
Points - Average Points,542nd,195.06,
Points - Total,335th,3316,
Skidpad - Average Points,635th,0.82,
Skidpad - Best Result,584th,31st,x1
Skidpad - Total,587th,14.0,
