Acceleration - Average Points,327th,27.65,
Acceleration - Best Result,341st,9th,x1
Acceleration - Total,120th,829.45,
AutoX - Average Points,186th,56.24,
AutoX - Best Result,227th,5th,x3
AutoX - Total,81st,1687.28,
Business Presentation - Average Points,352nd,46.93,
Business Presentation - Best Result,194th,3rd,x1
Business Presentation - Total,80th,1407.78,
Cost - Average Points,245th,63.43,
Cost - Best Result,145th,2nd,x1
Cost - Total,62nd,1902.75,
Endurance - Average Points,206th,83.34,
Endurance - Best Result,142nd,3rd,x2
Endurance - Total,96th,2500.32,
Engineering Design - Average Points,259th,79.43,
Engineering Design - Best Result,207th,5th,x1
Engineering Design - Total,85th,2382.9,
Fuel - Average Points,164th,21.75,
Fuel - Best Result,152nd,3rd,x1
Fuel - Total,62nd,652.54,
Points - Average Points,198th,394.33,
Points - Total,81st,11830,
Skidpad - Average Points,308th,15.55,
Skidpad - Best Result,186th,4th,x1
Skidpad - Total,131st,466.41,
