Acceleration - Average Points,442nd,19.26,
Acceleration - Best Result,157th,3rd,x1
Acceleration - Total,336th,250.33,
AutoX - Average Points,531st,12.99,
AutoX - Best Result,169th,3rd,x1
AutoX - Total,433rd,168.83,
Business Presentation - Average Points,144th,54.98,
Business Presentation - Best Result,224th,4th,x1
Business Presentation - Total,236th,714.75,
Cost - Average Points,121st,68.31,
Cost - Best Result,65th,1st,x1
Cost - Total,226th,887.98,
Endurance - Average Points,436th,29.79,
Endurance - Best Result,46th,1st,x1
Endurance - Total,358th,387.22,
Engineering Design - Average Points,347th,72.05,
Engineering Design - Best Result,81st,2nd,x1
Engineering Design - Total,297th,936.62,
Fuel - Average Points,407th,7.47,
Fuel - Best Result,178th,4th,x1
Fuel - Total,360th,97.1,
Points - Average Points,389th,278.08,
Points - Total,312th,3615,
Skidpad - Average Points,324th,13.99,
Skidpad - Best Result,206th,5th,x1
Skidpad - Total,277th,181.82,
