Acceleration - Average Points,555th,10.19,
Acceleration - Best Result,573rd,27th,x1
Acceleration - Total,520th,71.35,
AutoX - Average Points,481st,20.27,
AutoX - Best Result,364th,10th,x1
AutoX - Total,471st,141.89,
Business Presentation - Average Points,580th,38.26,
Business Presentation - Best Result,490th,12th,x1
Business Presentation - Total,490th,267.79,
Cost - Average Points,560th,45.52,
Cost - Best Result,559th,16th,x1
Cost - Total,476th,318.62,
Endurance - Average Points,345th,45.83,
Endurance - Best Result,375th,10th,x1
Endurance - Total,396th,320.8,
Engineering Design - Average Points,412th,67.64,
Engineering Design - Best Result,462nd,14th,x1
Engineering Design - Total,448th,473.5,
Fuel - Average Points,359th,10.59,
Fuel - Best Result,476th,22nd,x1
Fuel - Total,399th,74.1,
Points - Average Points,455th,245.14,
Points - Total,464th,1716,
Skidpad - Average Points,495th,7.22,
Skidpad - Best Result,453rd,16th,x1
Skidpad - Total,482nd,50.56,
