Acceleration - Average Points,20th,60.42,
Acceleration - Best Result,168th,3rd,x1
Acceleration - Total,92nd,966.75,
AutoX - Average Points,80th,76.41,
AutoX - Best Result,357th,10th,x2
AutoX - Total,127th,1222.54,
Business Presentation - Average Points,188th,53.25,
Business Presentation - Best Result,455th,11th,x2
Business Presentation - Total,187th,852.0,
Cost - Average Points,12th,80.04,
Cost - Best Result,72nd,1st,x1
Cost - Total,137th,1280.7,
Endurance - Average Points,90th,122.69,
Endurance - Best Result,230th,5th,x1
Endurance - Total,132nd,1963.01,
Engineering Design - Average Points,262nd,79.06,
Engineering Design - Best Result,313th,8th,x1
Engineering Design - Total,227th,1265.0,
Fuel - Average Points,203rd,19.29,
Fuel - Best Result,408th,14th,x1
Fuel - Total,180th,308.6,
Points - Average Points,72nd,524.69,
Points - Total,137th,8395,
Skidpad - Average Points,65th,33.42,
Skidpad - Best Result,154th,3rd,x1
Skidpad - Total,110th,534.74,
