Acceleration - Average Points,330th,27.28,
Acceleration - Best Result,228th,5th,x1
Acceleration - Total,240th,436.4,
AutoX - Average Points,148th,60.18,
AutoX - Best Result,60th,1st,x1
AutoX - Total,164th,962.92,
Business Presentation - Average Points,504th,41.15,
Business Presentation - Best Result,306th,6th,x1
Business Presentation - Total,261st,658.41,
Cost - Average Points,642nd,37.81,
Cost - Best Result,143rd,2nd,x1
Cost - Total,340th,605.0,
Endurance - Average Points,159th,97.52,
Endurance - Best Result,256th,6th,x1
Endurance - Total,158th,1560.25,
Engineering Design - Average Points,217th,83.75,
Engineering Design - Best Result,423rd,13th,x1
Engineering Design - Total,205th,1339.96,
Fuel - Average Points,89th,28.04,
Fuel - Best Result,370th,12th,x1
Fuel - Total,107th,448.65,
Points - Average Points,194th,394.62,
Points - Total,187th,6314,
Skidpad - Average Points,221st,20.14,
Skidpad - Best Result,351st,11th,x1
Skidpad - Total,193rd,322.22,
