Acceleration - Average Points,278th,31.27,
Acceleration - Best Result,118th,2nd,x1
Acceleration - Total,225th,500.29,
AutoX - Average Points,238th,49.52,
AutoX - Best Result,204th,4th,x2
AutoX - Total,206th,792.38,
Business Presentation - Average Points,333rd,47.89,
Business Presentation - Best Result,325th,6th,x1
Business Presentation - Total,226th,766.23,
Cost - Average Points,441st,53.5,
Cost - Best Result,294th,5th,x1
Cost - Total,250th,855.97,
Endurance - Average Points,188th,88.29,
Endurance - Best Result,112th,2nd,x1
Endurance - Total,169th,1412.65,
Engineering Design - Average Points,153rd,91.83,
Engineering Design - Best Result,47th,1st,x1
Engineering Design - Total,187th,1469.3,
Fuel - Average Points,86th,28.09,
Fuel - Best Result,191st,4th,x1
Fuel - Total,110th,449.51,
Points - Average Points,169th,415.06,
Points - Total,183rd,6641,
Skidpad - Average Points,142nd,26.39,
Skidpad - Best Result,188th,4th,x1
Skidpad - Total,150th,422.2,
