Business Presentation - Average Points,394th,44.9,
Business Presentation - Best Result,607th,22nd,x1
Business Presentation - Total,668th,89.8,
Cost - Average Points,280th,61.25,
Cost - Best Result,467th,12th,x1
Cost - Total,613th,122.5,
Endurance - Average Points,536th,12.5,
Endurance - Best Result,272nd,7th,x1
Endurance - Total,584th,25.0,
Engineering Design - Average Points,474th,61.5,
Engineering Design - Best Result,583rd,23rd,x1
Engineering Design - Total,659th,123.0,
Points - Average Points,578th,175.0,
Points - Total,669th,350,
