Acceleration - Average Points,20th,59.6,
Acceleration - Best Result,56th,1st,x1
Acceleration - Total,41st,1549.47,
AutoX - Average Points,131st,63.57,
AutoX - Best Result,130th,2nd,x1
AutoX - Total,80th,1652.82,
Business Presentation - Average Points,360th,46.42,
Business Presentation - Best Result,334th,7th,x1
Business Presentation - Total,101st,1206.84,
Cost - Average Points,303rd,59.94,
Cost - Best Result,244th,4th,x1
Cost - Total,90th,1558.48,
Endurance - Average Points,147th,104.03,
Endurance - Best Result,260th,6th,x1
Endurance - Total,78th,2704.71,
Engineering Design - Average Points,213th,84.08,
Engineering Design - Best Result,162nd,4th,x1
Engineering Design - Total,90th,2186.0,
Fuel - Average Points,256th,15.85,
Fuel - Best Result,339th,10th,x1
Fuel - Total,119th,412.0,
Points - Average Points,119th,465.81,
Points - Total,72nd,12111,
Skidpad - Average Points,65th,32.67,
Skidpad - Best Result,54th,1st,x1
Skidpad - Total,54th,849.51,
