Acceleration - Average Points,51st,52.69,
Acceleration - Best Result,287th,8th,x1
Acceleration - Total,366th,210.75,
AutoX - Average Points,204th,53.94,
AutoX - Best Result,342nd,10th,x1
AutoX - Total,392nd,215.74,
Business Presentation - Average Points,103rd,56.71,
Business Presentation - Best Result,400th,10th,x1
Business Presentation - Total,500th,226.84,
Cost - Average Points,209th,64.75,
Cost - Best Result,237th,4th,x1
Cost - Total,499th,259.01,
Endurance - Average Points,300th,53.9,
Endurance - Best Result,481st,17th,x1
Endurance - Total,442nd,215.59,
Engineering Design - Average Points,51st,106.5,
Engineering Design - Best Result,411th,13th,x1
Engineering Design - Total,449th,426.0,
Fuel - Average Points,351st,10.6,
Fuel - Best Result,437th,19th,x1
Fuel - Total,456th,42.39,
Points - Average Points,150th,435.75,
Points - Total,446th,1743,
Skidpad - Average Points,37th,36.52,
Skidpad - Best Result,362nd,12th,x1
Skidpad - Total,309th,146.07,
