Acceleration - Average Points,281st,31.06,
Acceleration - Best Result,485th,17th,x1
Acceleration - Total,425th,155.3,
AutoX - Average Points,568th,10.44,
AutoX - Best Result,696th,61st,x1
AutoX - Total,575th,52.2,
Business Presentation - Average Points,348th,47.26,
Business Presentation - Best Result,657th,24th,x1
Business Presentation - Total,516th,236.3,
Cost - Average Points,575th,44.66,
Cost - Best Result,834th,60th,x1
Cost - Total,548th,223.3,
Endurance - Average Points,484th,21.84,
Endurance - Best Result,560th,22nd,x1
Endurance - Total,523rd,109.2,
Engineering Design - Average Points,718th,41.0,
Engineering Design - Best Result,852nd,75th,x1
Engineering Design - Total,599th,205.0,
Fuel - Average Points,265th,15.6,
Fuel - Best Result,524th,39th,x1
Fuel - Total,392nd,78.0,
Points - Average Points,508th,215.4,
Points - Total,531st,1077,
Skidpad - Average Points,439th,9.42,
Skidpad - Best Result,627th,42nd,x1
Skidpad - Total,489th,47.1,
