Acceleration - Average Points,21st,59.49,
Acceleration - Best Result,198th,4th,x1
Acceleration - Total,530th,59.49,
AutoX - Average Points,18th,100.0,
AutoX - Best Result,73rd,1st,x1
AutoX - Total,499th,100.0,
Business Presentation - Average Points,196th,52.71,
Business Presentation - Best Result,563rd,18th,x1
Business Presentation - Total,746th,52.71,
Cost - Average Points,385th,56.0,
Cost - Best Result,567th,18th,x1
Cost - Total,723rd,56.0,
Engineering Design - Average Points,27th,115.0,
Engineering Design - Best Result,230th,6th,x1
Engineering Design - Total,677th,115.0,
Points - Average Points,141st,444.0,
Points - Total,647th,444,
Skidpad - Average Points,1st,61.05,
Skidpad - Best Result,111th,2nd,x1
Skidpad - Total,446th,61.05,
