Acceleration - Average Points,365th,24.37,
Acceleration - Best Result,193rd,4th,x1
Acceleration - Total,267th,365.6,
AutoX - Average Points,126th,66.69,
AutoX - Best Result,242nd,6th,x1
AutoX - Total,148th,1000.29,
Business Presentation - Average Points,674th,33.05,
Business Presentation - Best Result,186th,3rd,x1
Business Presentation - Total,323rd,495.76,
Cost - Average Points,753rd,21.28,
Cost - Best Result,606th,23rd,x1
Cost - Total,455th,319.21,
Endurance - Average Points,85th,126.32,
Endurance - Best Result,50th,1st,x1
Endurance - Total,133rd,1894.84,
Engineering Design - Average Points,256th,79.47,
Engineering Design - Best Result,421st,14th,x2
Engineering Design - Total,225th,1192.0,
Fuel - Average Points,332nd,11.68,
Fuel - Best Result,447th,20th,x1
Fuel - Total,266th,175.27,
Points - Average Points,221st,376.07,
Points - Total,205th,5641,
Skidpad - Average Points,285th,15.77,
Skidpad - Best Result,109th,2nd,x1
Skidpad - Total,230th,236.48,
