Acceleration - Average Points,592nd,6.22,
Acceleration - Best Result,606th,36th,x1
Acceleration - Total,581st,37.33,
AutoX - Average Points,379th,30.72,
AutoX - Best Result,83rd,1st,x1
AutoX - Total,422nd,184.34,
Business Presentation - Average Points,804th,22.25,
Business Presentation - Best Result,767th,41st,x1
Business Presentation - Total,598th,133.49,
Cost - Average Points,821st,6.3,
Cost - Best Result,815th,59th,x1
Cost - Total,765th,37.78,
Endurance - Average Points,463rd,22.84,
Endurance - Best Result,490th,17th,x1
Endurance - Total,488th,137.04,
Engineering Design - Average Points,766th,34.17,
Engineering Design - Best Result,759th,43rd,x1
Engineering Design - Total,584th,205.0,
Fuel - Average Points,360th,10.34,
Fuel - Best Result,460th,21st,x1
Fuel - Total,413th,62.01,
Points - Average Points,711th,124.83,
Points - Total,579th,749,
Skidpad - Average Points,493rd,7.09,
Skidpad - Best Result,540th,25th,x1
Skidpad - Total,489th,42.54,
