Acceleration - Average Points,465th,17.76,
Acceleration - Best Result,68th,1st,x1
Acceleration - Total,467th,106.55,
AutoX - Average Points,505th,16.01,
AutoX - Best Result,343rd,9th,x1
AutoX - Total,517th,96.05,
Business Presentation - Average Points,546th,39.91,
Business Presentation - Best Result,436th,10th,x1
Business Presentation - Total,512th,239.44,
Cost - Average Points,456th,52.63,
Cost - Best Result,361st,7th,x2
Cost - Total,477th,315.77,
Endurance - Average Points,356th,44.52,
Endurance - Best Result,398th,11th,x1
Endurance - Total,430th,267.1,
Engineering Design - Average Points,421st,67.18,
Engineering Design - Best Result,319th,8th,x1
Engineering Design - Total,479th,403.11,
Fuel - Average Points,472nd,4.0,
Fuel - Best Result,331st,9th,x1
Fuel - Total,495th,24.0,
Points - Average Points,452nd,246.5,
Points - Total,486th,1479,
Skidpad - Average Points,514th,6.24,
Skidpad - Best Result,365th,11th,x1
Skidpad - Total,511th,37.41,
