Acceleration - Average Points,365th,24.59,
Acceleration - Best Result,171st,3rd,x1
Acceleration - Total,292nd,319.7,
AutoX - Average Points,198th,55.23,
AutoX - Best Result,282nd,7th,x1
AutoX - Total,215th,717.95,
Business Presentation - Average Points,475th,42.23,
Business Presentation - Best Result,235th,4th,x1
Business Presentation - Total,308th,548.96,
Cost - Average Points,390th,55.78,
Cost - Best Result,285th,5th,x1
Cost - Total,284th,725.09,
Endurance - Average Points,264th,66.57,
Endurance - Best Result,297th,7th,x1
Endurance - Total,246th,865.36,
Engineering Design - Average Points,316th,74.31,
Engineering Design - Best Result,204th,5th,x1
Engineering Design - Total,291st,966.09,
Fuel - Average Points,518th,0.44,
Fuel - Best Result,498th,28th,x1
Fuel - Total,516th,5.7,
Points - Average Points,286th,331.31,
Points - Total,271st,4307,
Skidpad - Average Points,343rd,12.95,
Skidpad - Best Result,241st,6th,x1
Skidpad - Total,291st,168.41,
