Acceleration - Average Points,84th,49.66,
Acceleration - Best Result,36th,1st,x2
Acceleration - Total,12th,2284.4,
AutoX - Average Points,14th,103.21,
AutoX - Best Result,8th,1st,x7
AutoX - Total,6th,4747.78,
Business Presentation - Average Points,48th,60.06,
Business Presentation - Best Result,87th,1st,x1
Business Presentation - Total,7th,2762.91,
Cost - Average Points,142nd,67.73,
Cost - Best Result,92nd,1st,x1
Cost - Total,11th,3115.47,
Endurance - Average Points,77th,129.66,
Endurance - Best Result,13th,1st,x4
Endurance - Total,14th,5964.31,
Engineering Design - Average Points,12th,125.21,
Engineering Design - Best Result,8th,1st,x7
Engineering Design - Total,6th,5759.81,
Fuel - Average Points,55th,33.51,
Fuel - Best Result,18th,1st,x2
Fuel - Total,9th,1541.53,
Points - Average Points,28th,608.22,
Points - Total,8th,27978,
Skidpad - Average Points,23rd,40.1,
Skidpad - Best Result,29th,1st,x2
Skidpad - Total,9th,1844.54,
