Acceleration - Average Points,358th,24.96,
Acceleration - Best Result,124th,2nd,x1
Acceleration - Total,428th,149.79,
AutoX - Average Points,413th,27.36,
AutoX - Best Result,384th,11th,x1
AutoX - Total,438th,164.15,
Business Presentation - Average Points,382nd,45.34,
Business Presentation - Best Result,471st,12th,x1
Business Presentation - Total,466th,272.01,
Cost - Average Points,635th,38.82,
Cost - Best Result,690th,30th,x1
Cost - Total,527th,232.94,
Endurance - Average Points,373rd,39.82,
Endurance - Best Result,369th,10th,x1
Endurance - Total,432nd,238.9,
Engineering Design - Average Points,185th,87.5,
Engineering Design - Best Result,476th,15th,x1
Engineering Design - Total,420th,525.0,
Fuel - Average Points,314th,12.83,
Fuel - Best Result,308th,8th,x1
Fuel - Total,388th,77.0,
Points - Average Points,404th,268.33,
Points - Total,459th,1610,
Skidpad - Average Points,369th,11.66,
Skidpad - Best Result,499th,20th,x1
Skidpad - Total,427th,69.93,
