Acceleration - Average Points,343rd,25.92,
Acceleration - Best Result,531st,24th,x1
Acceleration - Total,281st,336.91,
AutoX - Average Points,407th,27.49,
AutoX - Best Result,595th,33rd,x1
AutoX - Total,322nd,357.42,
Business Presentation - Average Points,337th,47.21,
Business Presentation - Best Result,231st,4th,x1
Business Presentation - Total,271st,613.67,
Cost - Average Points,38th,75.12,
Cost - Best Result,18th,1st,x3
Cost - Total,190th,976.52,
Endurance - Average Points,457th,23.85,
Endurance - Best Result,499th,18th,x1
Endurance - Total,389th,309.99,
Engineering Design - Average Points,468th,61.92,
Engineering Design - Best Result,518th,18th,x1
Engineering Design - Total,324th,805.0,
Fuel - Average Points,335th,11.34,
Fuel - Best Result,144th,3rd,x1
Fuel - Total,288th,147.4,
Points - Average Points,373rd,285.15,
Points - Total,302nd,3707,
Skidpad - Average Points,334th,13.13,
Skidpad - Best Result,550th,29th,x1
Skidpad - Total,274th,170.71,
