Acceleration - Average Points,62nd,52.04,
Acceleration - Best Result,36th,1st,x2
Acceleration - Total,20th,1821.37,
AutoX - Average Points,55th,84.21,
AutoX - Best Result,208th,4th,x1
AutoX - Total,25th,2947.33,
Business Presentation - Average Points,75th,58.21,
Business Presentation - Best Result,87th,1st,x1
Business Presentation - Total,28th,2037.31,
Cost - Average Points,381st,56.2,
Cost - Best Result,159th,2nd,x1
Cost - Total,54th,1967.11,
Endurance - Average Points,108th,116.69,
Endurance - Best Result,155th,3rd,x1
Endurance - Total,39th,4084.14,
Engineering Design - Average Points,82nd,102.56,
Engineering Design - Best Result,94th,2nd,x1
Engineering Design - Total,28th,3589.53,
Fuel - Average Points,147th,23.11,
Fuel - Best Result,226th,5th,x1
Fuel - Total,34th,809.02,
Points - Average Points,79th,518.06,
Points - Total,31st,18132,
Skidpad - Average Points,136th,26.44,
Skidpad - Best Result,154th,3rd,x1
Skidpad - Total,45th,925.4,
