Acceleration - Average Points,178th,39.62,
Acceleration - Best Result,72nd,1st,x1
Acceleration - Total,118th,832.11,
AutoX - Average Points,110th,69.71,
AutoX - Best Result,32nd,1st,x2
AutoX - Total,100th,1463.94,
Business Presentation - Average Points,609th,37.36,
Business Presentation - Best Result,255th,4th,x1
Business Presentation - Total,216th,784.49,
Cost - Average Points,735th,27.97,
Cost - Best Result,432nd,9th,x1
Cost - Total,352nd,587.42,
Endurance - Average Points,79th,129.13,
Endurance - Best Result,182nd,4th,x3
Endurance - Total,83rd,2711.82,
Engineering Design - Average Points,196th,86.24,
Engineering Design - Best Result,198th,5th,x2
Engineering Design - Total,123rd,1811.07,
Fuel - Average Points,71st,29.99,
Fuel - Best Result,112th,2nd,x1
Fuel - Total,66th,629.8,
Points - Average Points,150th,436.24,
Points - Total,119th,9161,
Skidpad - Average Points,278th,17.11,
Skidpad - Best Result,258th,6th,x1
Skidpad - Total,187th,359.27,
