AutoX - Average Points,693rd,1.67,
AutoX - Best Result,440th,13th,x1
AutoX - Total,699th,5.0,
Business Presentation - Average Points,181st,53.5,
Business Presentation - Best Result,625th,21st,x1
Business Presentation - Total,591st,160.5,
Cost - Average Points,430th,53.87,
Cost - Best Result,484th,11th,x1
Cost - Total,598th,161.6,
Endurance - Average Points,652nd,1.0,
Endurance - Best Result,485th,16th,x1
Endurance - Total,657th,3.0,
Engineering Design - Average Points,485th,61.67,
Engineering Design - Best Result,586th,21st,x1
Engineering Design - Total,612th,185.0,
Points - Average Points,597th,171.67,
Points - Total,643rd,515,
