Acceleration - Average Points,570th,7.61,
Acceleration - Best Result,584th,32nd,x1
Acceleration - Total,490th,76.1,
AutoX - Average Points,616th,5.19,
AutoX - Best Result,684th,65th,x1
AutoX - Total,561st,51.9,
Business Presentation - Average Points,460th,42.72,
Business Presentation - Best Result,373rd,9th,x1
Business Presentation - Total,360th,427.24,
Cost - Average Points,17th,78.09,
Cost - Best Result,316th,6th,x1
Cost - Total,252nd,780.9,
Endurance - Average Points,613th,2.9,
Endurance - Best Result,617th,36th,x1
Endurance - Total,573rd,29.0,
Engineering Design - Average Points,618th,50.0,
Engineering Design - Best Result,709th,38th,x2
Engineering Design - Total,422nd,500.0,
Points - Average Points,555th,183.6,
Points - Total,434th,1836,
Skidpad - Average Points,647th,0.25,
Skidpad - Best Result,636th,59th,x1
Skidpad - Total,638th,2.5,
