Acceleration - Average Points,656th,1.75,
Acceleration - Best Result,633rd,42nd,x1
Acceleration - Total,670th,3.5,
AutoX - Average Points,652nd,3.75,
AutoX - Best Result,654th,41st,x1
AutoX - Total,677th,7.5,
Business Presentation - Average Points,534th,40.39,
Business Presentation - Best Result,762nd,37th,x1
Business Presentation - Total,717th,80.78,
Cost - Average Points,271st,61.84,
Cost - Best Result,760th,37th,x1
Cost - Total,632nd,123.69,
Engineering Design - Average Points,586th,55.0,
Engineering Design - Best Result,667th,28th,x1
Engineering Design - Total,709th,110.0,
Points - Average Points,617th,164.0,
Points - Total,706th,328,
Skidpad - Average Points,621st,1.25,
Skidpad - Best Result,621st,40th,x1
Skidpad - Total,650th,2.5,
