Business Presentation - Average Points,826th,16.7,
Business Presentation - Best Result,529th,16th,x1
Business Presentation - Total,645th,100.22,
Cost - Average Points,543rd,45.8,
Cost - Best Result,475th,12th,x1
Cost - Total,485th,274.79,
Endurance - Average Points,652nd,0.17,
Endurance - Best Result,515th,19th,x1
Endurance - Total,652nd,1.0,
Engineering Design - Average Points,843rd,14.74,
Engineering Design - Best Result,536th,20th,x1
Engineering Design - Total,710th,88.45,
Points - Average Points,800th,77.33,
Points - Total,633rd,464,
