Acceleration - Average Points,403rd,21.85,
Acceleration - Best Result,194th,4th,x2
Acceleration - Total,344th,262.21,
AutoX - Average Points,333rd,36.54,
AutoX - Best Result,192nd,3rd,x1
AutoX - Total,296th,438.49,
Business Presentation - Average Points,508th,41.27,
Business Presentation - Best Result,278th,5th,x2
Business Presentation - Total,344th,495.24,
Cost - Average Points,292nd,60.7,
Cost - Best Result,99th,1st,x1
Cost - Total,291st,728.39,
Endurance - Average Points,287th,60.68,
Endurance - Best Result,144th,3rd,x2
Endurance - Total,272nd,728.13,
Engineering Design - Average Points,509th,60.08,
Engineering Design - Best Result,185th,4th,x1
Engineering Design - Total,369th,720.97,
Fuel - Average Points,116th,25.61,
Fuel - Best Result,116th,2nd,x1
Fuel - Total,182nd,307.28,
Points - Average Points,315th,319.92,
Points - Total,311th,3839,
Skidpad - Average Points,349th,12.99,
Skidpad - Best Result,166th,3rd,x1
Skidpad - Total,321st,155.85,
