Acceleration - Average Points,525th,13.23,
Acceleration - Best Result,523rd,21st,x2
Acceleration - Total,559th,52.92,
AutoX - Average Points,528th,13.6,
AutoX - Best Result,488th,17th,x1
AutoX - Total,573rd,54.42,
Business Presentation - Average Points,301st,49.09,
Business Presentation - Best Result,386th,8th,x1
Business Presentation - Total,550th,196.35,
Cost - Average Points,225th,64.25,
Cost - Best Result,381st,7th,x1
Cost - Total,522nd,257.0,
Endurance - Average Points,552nd,12.5,
Endurance - Best Result,241st,5th,x1
Endurance - Total,561st,50.0,
Engineering Design - Average Points,347th,72.75,
Engineering Design - Best Result,560th,19th,x1
Engineering Design - Total,542nd,291.0,
Fuel - Average Points,302nd,13.54,
Fuel - Best Result,70th,1st,x1
Fuel - Total,441st,54.16,
Points - Average Points,439th,250.25,
Points - Total,542nd,1001,
Skidpad - Average Points,389th,11.37,
Skidpad - Best Result,350th,10th,x1
Skidpad - Total,495th,45.48,
