Acceleration - Average Points,74th,50.01,
Acceleration - Best Result,11th,1st,x4
Acceleration - Total,35th,1600.46,
AutoX - Average Points,162nd,58.98,
AutoX - Best Result,119th,2nd,x2
AutoX - Total,62nd,1887.31,
Business Presentation - Average Points,179th,53.35,
Business Presentation - Best Result,93rd,1st,x1
Business Presentation - Total,50th,1707.16,
Cost - Average Points,40th,74.94,
Cost - Best Result,1st,1st,x6
Cost - Total,28th,2398.04,
Endurance - Average Points,114th,113.41,
Endurance - Best Result,119th,2nd,x1
Endurance - Total,49th,3629.18,
Engineering Design - Average Points,140th,92.92,
Engineering Design - Best Result,57th,1st,x1
Engineering Design - Total,55th,2973.38,
Fuel - Average Points,170th,21.52,
Fuel - Best Result,68th,1st,x1
Fuel - Total,50th,688.75,
Points - Average Points,100th,490.0,
Points - Total,46th,15680,
Skidpad - Average Points,76th,31.99,
Skidpad - Best Result,157th,3rd,x1
Skidpad - Total,37th,1023.66,
