Acceleration - Average Points,560th,9.33,
Acceleration - Best Result,368th,10th,x1
Acceleration - Total,411th,167.99,
AutoX - Average Points,511th,15.31,
AutoX - Best Result,579th,29th,x1
AutoX - Total,364th,275.52,
Business Presentation - Average Points,405th,44.61,
Business Presentation - Best Result,158th,2nd,x1
Business Presentation - Total,193rd,802.9,
Cost - Average Points,332nd,58.88,
Cost - Best Result,96th,1st,x1
Cost - Total,176th,1059.85,
Endurance - Average Points,525th,14.99,
Endurance - Best Result,411th,12th,x1
Endurance - Total,418th,269.9,
Engineering Design - Average Points,476th,61.28,
Engineering Design - Best Result,454th,14th,x1
Engineering Design - Total,255th,1103.0,
Fuel - Average Points,437th,5.98,
Fuel - Best Result,462nd,21st,x1
Fuel - Total,340th,107.6,
Points - Average Points,514th,209.33,
Points - Total,302nd,3768,
Skidpad - Average Points,547th,4.49,
Skidpad - Best Result,393rd,13th,x1
Skidpad - Total,402nd,80.88,
