Acceleration - Average Points,234th,34.86,
Acceleration - Best Result,78th,1st,x1
Acceleration - Total,245th,453.2,
AutoX - Average Points,73rd,79.49,
AutoX - Best Result,152nd,2nd,x1
AutoX - Total,160th,1033.35,
Business Presentation - Average Points,29th,62.14,
Business Presentation - Best Result,12th,1st,x4
Business Presentation - Total,203rd,807.78,
Cost - Average Points,194th,65.27,
Cost - Best Result,306th,5th,x1
Cost - Total,252nd,848.47,
Endurance - Average Points,120th,113.32,
Endurance - Best Result,184th,4th,x2
Endurance - Total,166th,1473.22,
Engineering Design - Average Points,8th,130.55,
Engineering Design - Best Result,63rd,1st,x1
Engineering Design - Total,136th,1697.1,
Fuel - Average Points,157th,22.49,
Fuel - Best Result,92nd,2nd,x2
Fuel - Total,196th,292.4,
Points - Average Points,57th,540.31,
Points - Total,173rd,7024,
Skidpad - Average Points,83rd,31.77,
Skidpad - Best Result,127th,2nd,x1
Skidpad - Total,152nd,412.97,
