Acceleration - Average Points,259th,(Универзитет у Београду),32.85,
Acceleration - Best Result,305th,(Универзитет у Београду),7th,x1
Acceleration - Total,206th,(Универзитет у Београду),558.53,
AutoX - Average Points,354th,(Универзитет у Београду),34.25,
AutoX - Best Result,298th,(Универзитет у Београду),7th,x1
AutoX - Total,253rd,(Универзитет у Београду),582.31,
Business Presentation - Average Points,247th,(Универзитет у Београду),51.03,
Business Presentation - Best Result,301st,(Универзитет у Београду),5th,x1
Business Presentation - Total,179th,(Универзитет у Београду),867.48,
Cost - Average Points,290th,(Универзитет у Београду),60.79,
Cost - Best Result,239th,(Универзитет у Београду),4th,x2
Cost - Total,195th,(Универзитет у Београду),1033.44,
Endurance - Average Points,365th,(Универзитет у Београду),41.73,
Endurance - Best Result,209th,(Универзитет у Београду),4th,x1
Endurance - Total,278th,(Универзитет у Београду),709.44,
Engineering Design - Average Points,176th,(Универзитет у Београду),88.7,
Engineering Design - Best Result,352nd,(Универзитет у Београду),10th,x2
Engineering Design - Total,178th,(Универзитет у Београду),1507.83,
Fuel - Average Points,289th,(Универзитет у Београду),14.21,
Fuel - Best Result,287th,(Универзитет у Београду),7th,x1
Fuel - Total,224th,(Универзитет у Београду),241.64,
Points - Average Points,283rd,(Универзитет у Београду),334.82,
Points - Total,222nd,(Универзитет у Београду),5692,
Skidpad - Average Points,299th,(Универзитет у Београду),16.03,
Skidpad - Best Result,261st,(Универзитет у Београду),6th,x1
Skidpad - Total,230th,(Универзитет у Београду),272.53,
