Acceleration - Average Points,392nd,22.43,
Acceleration - Best Result,227th,5th,x1
Acceleration - Total,311th,291.56,
AutoX - Average Points,381st,30.7,
AutoX - Best Result,501st,20th,x1
AutoX - Total,298th,399.14,
Business Presentation - Average Points,630th,35.0,
Business Presentation - Best Result,676th,28th,x1
Business Presentation - Total,345th,455.04,
Cost - Average Points,208th,64.8,
Cost - Best Result,673rd,29th,x1
Cost - Total,236th,842.42,
Endurance - Average Points,342nd,45.58,
Endurance - Best Result,504th,18th,x1
Endurance - Total,285th,592.5,
Engineering Design - Average Points,484th,60.77,
Engineering Design - Best Result,448th,15th,x2
Engineering Design - Total,328th,790.0,
Fuel - Average Points,272nd,14.95,
Fuel - Best Result,384th,13th,x1
Fuel - Total,240th,194.3,
Points - Average Points,366th,288.23,
Points - Total,299th,3747,
Skidpad - Average Points,301st,14.85,
Skidpad - Best Result,307th,9th,x1
Skidpad - Total,257th,193.04,
