Acceleration - Average Points,125th,44.97,
Acceleration - Best Result,133rd,2nd,x1
Acceleration - Total,20th,1933.69,
AutoX - Average Points,46th,86.69,
AutoX - Best Result,21st,1st,x3
AutoX - Total,13th,3727.65,
Business Presentation - Average Points,139th,55.16,
Business Presentation - Best Result,222nd,3rd,x1
Business Presentation - Total,18th,2372.05,
Cost - Average Points,414th,54.57,
Cost - Best Result,384th,7th,x1
Cost - Total,33rd,2346.38,
Endurance - Average Points,88th,123.1,
Endurance - Best Result,71st,1st,x1
Endurance - Total,18th,5293.18,
Engineering Design - Average Points,107th,99.05,
Engineering Design - Best Result,64th,1st,x1
Engineering Design - Total,20th,4259.1,
Fuel - Average Points,193rd,19.78,
Fuel - Best Result,290th,7th,x1
Fuel - Total,32nd,850.64,
Points - Average Points,95th,501.84,
Points - Total,19th,21579,
Skidpad - Average Points,244th,19.3,
Skidpad - Best Result,292nd,8th,x2
Skidpad - Total,62nd,830.04,
