Acceleration - Average Points,569th,7.9,
Acceleration - Best Result,473rd,18th,x1
Acceleration - Total,593rd,31.6,
AutoX - Average Points,554th,10.85,
AutoX - Best Result,488th,19th,x1
AutoX - Total,573rd,43.4,
Business Presentation - Average Points,671st,33.17,
Business Presentation - Best Result,611th,22nd,x1
Business Presentation - Total,594th,132.7,
Cost - Average Points,41st,74.66,
Cost - Best Result,157th,2nd,x1
Cost - Total,467th,298.65,
Endurance - Average Points,518th,16.0,
Endurance - Best Result,320th,8th,x1
Endurance - Total,533rd,64.0,
Engineering Design - Average Points,533rd,57.5,
Engineering Design - Best Result,560th,21st,x1
Engineering Design - Total,556th,230.0,
Fuel - Average Points,409th,7.32,
Fuel - Best Result,355th,11th,x1
Fuel - Total,475th,29.3,
Points - Average Points,503rd,210.25,
Points - Total,557th,841,
Skidpad - Average Points,580th,2.62,
Skidpad - Best Result,467th,18th,x1
Skidpad - Total,589th,10.5,
