Acceleration - Average Points,251st,33.17,
Acceleration - Best Result,238th,5th,x1
Acceleration - Total,382nd,199.02,
AutoX - Average Points,353rd,34.24,
AutoX - Best Result,294th,7th,x1
AutoX - Total,408th,205.44,
Business Presentation - Average Points,350th,46.7,
Business Presentation - Best Result,455th,11th,x1
Business Presentation - Total,461st,280.19,
Cost - Average Points,88th,70.03,
Cost - Best Result,166th,2nd,x1
Cost - Total,419th,420.2,
Endurance - Average Points,283rd,61.6,
Endurance - Best Result,65th,1st,x1
Endurance - Total,362nd,369.6,
Engineering Design - Average Points,193rd,86.16,
Engineering Design - Best Result,329th,9th,x1
Engineering Design - Total,422nd,516.95,
Fuel - Average Points,287th,14.02,
Fuel - Best Result,326th,9th,x1
Fuel - Total,377th,84.11,
Points - Average Points,251st,358.0,
Points - Total,420th,2148,
Skidpad - Average Points,410th,10.46,
Skidpad - Best Result,219th,5th,x1
Skidpad - Total,440th,62.79,
