Acceleration - Average Points,220th,36.03,
Acceleration - Best Result,181st,4th,x2
Acceleration - Total,75th,1080.78,
AutoX - Average Points,248th,48.11,
AutoX - Best Result,143rd,2nd,x1
AutoX - Total,97th,1443.3,
Business Presentation - Average Points,426th,44.05,
Business Presentation - Best Result,167th,3rd,x3
Business Presentation - Total,82nd,1321.65,
Cost - Average Points,568th,44.12,
Cost - Best Result,254th,4th,x1
Cost - Total,115th,1323.74,
Endurance - Average Points,366th,40.84,
Endurance - Best Result,158th,3rd,x1
Endurance - Total,181st,1225.09,
Engineering Design - Average Points,203rd,85.64,
Engineering Design - Best Result,93rd,2nd,x1
Engineering Design - Total,71st,2569.23,
Fuel - Average Points,318th,12.75,
Fuel - Best Result,110th,2nd,x1
Fuel - Total,126th,382.56,
Points - Average Points,292nd,330.23,
Points - Total,99th,9907,
Skidpad - Average Points,181st,22.98,
Skidpad - Best Result,74th,1st,x1
Skidpad - Total,75th,689.47,
