Acceleration - Average Points,100th,47.55,
Acceleration - Best Result,23rd,1st,x3
Acceleration - Total,79th,1093.61,
AutoX - Average Points,108th,70.1,
AutoX - Best Result,167th,3rd,x3
AutoX - Total,90th,1612.21,
Business Presentation - Average Points,177th,53.63,
Business Presentation - Best Result,170th,2nd,x1
Business Presentation - Total,103rd,1233.46,
Cost - Average Points,204th,65.03,
Cost - Best Result,386th,7th,x1
Cost - Total,103rd,1495.62,
Endurance - Average Points,214th,82.19,
Endurance - Best Result,131st,2nd,x1
Endurance - Total,140th,1890.45,
Engineering Design - Average Points,166th,89.74,
Engineering Design - Best Result,141st,3rd,x1
Engineering Design - Total,108th,2064.0,
Fuel - Average Points,287th,14.27,
Fuel - Best Result,264th,6th,x1
Fuel - Total,170th,328.1,
Points - Average Points,143rd,446.83,
Points - Total,101st,10277,
Skidpad - Average Points,113th,28.31,
Skidpad - Best Result,82nd,1st,x1
Skidpad - Total,88th,651.04,
