AutoX - Average Points,704th,0.83,
AutoX - Best Result,404th,11th,x1
AutoX - Total,685th,7.5,
Business Presentation - Average Points,660th,34.8,
Business Presentation - Best Result,612th,20th,x1
Business Presentation - Total,448th,313.23,
Cost - Average Points,712th,30.59,
Cost - Best Result,224th,3rd,x1
Cost - Total,503rd,275.31,
Engineering Design - Average Points,722nd,40.8,
Engineering Design - Best Result,517th,16th,x1
Engineering Design - Total,502nd,367.18,
Points - Average Points,780th,101.67,
Points - Total,562nd,915,
Skidpad - Average Points,658th,0.28,
Skidpad - Best Result,443rd,15th,x1
Skidpad - Total,655th,2.5,
