Acceleration - Average Points,107th,46.49,
Acceleration - Best Result,218th,5th,x3
Acceleration - Total,22nd,1766.7,
AutoX - Average Points,64th,81.61,
AutoX - Best Result,99th,1st,x1
AutoX - Total,22nd,3101.19,
Business Presentation - Average Points,67th,58.68,
Business Presentation - Best Result,21st,1st,x3
Business Presentation - Total,20th,2229.88,
Cost - Average Points,220th,64.29,
Cost - Best Result,168th,2nd,x1
Cost - Total,26th,2443.12,
Endurance - Average Points,97th,120.77,
Endurance - Best Result,124th,2nd,x1
Endurance - Total,28th,4589.2,
Engineering Design - Average Points,216th,83.85,
Engineering Design - Best Result,99th,2nd,x1
Engineering Design - Total,42nd,3186.31,
Fuel - Average Points,254th,15.89,
Fuel - Best Result,234th,5th,x1
Fuel - Total,66th,603.84,
Points - Average Points,90th,499.58,
Points - Total,27th,18984,
Skidpad - Average Points,98th,29.95,
Skidpad - Best Result,126th,2nd,x1
Skidpad - Total,26th,1138.01,
