Acceleration - Average Points,113th,46.49,
Acceleration - Best Result,184th,3rd,x1
Acceleration - Total,132nd,790.38,
AutoX - Average Points,124th,66.41,
AutoX - Best Result,255th,5th,x1
AutoX - Total,144th,1128.92,
Business Presentation - Average Points,307th,48.78,
Business Presentation - Best Result,498th,12th,x1
Business Presentation - Total,193rd,829.3,
Cost - Average Points,196th,65.22,
Cost - Best Result,347th,6th,x1
Cost - Total,173rd,1108.8,
Endurance - Average Points,313th,52.58,
Endurance - Best Result,328th,8th,x2
Endurance - Total,248th,893.85,
Engineering Design - Average Points,190th,86.71,
Engineering Design - Best Result,230th,6th,x2
Engineering Design - Total,185th,1474.0,
Fuel - Average Points,187th,20.24,
Fuel - Best Result,291st,7th,x1
Fuel - Total,156th,344.0,
Points - Average Points,184th,407.71,
Points - Total,177th,6931,
Skidpad - Average Points,182nd,24.13,
Skidpad - Best Result,282nd,7th,x1
Skidpad - Total,154th,410.13,
