Acceleration - Average Points,280th,31.22,
Acceleration - Best Result,443rd,13th,x1
Acceleration - Total,331st,281.0,
AutoX - Average Points,239th,49.51,
AutoX - Best Result,515th,19th,x1
AutoX - Total,292nd,445.6,
Business Presentation - Average Points,521st,40.9,
Business Presentation - Best Result,445th,10th,x1
Business Presentation - Total,414th,368.1,
Cost - Average Points,283rd,61.28,
Cost - Best Result,410th,8th,x1
Cost - Total,368th,551.5,
Endurance - Average Points,296th,57.63,
Endurance - Best Result,404th,11th,x1
Endurance - Total,322nd,518.7,
Engineering Design - Average Points,486th,61.56,
Engineering Design - Best Result,591st,21st,x1
Engineering Design - Total,416th,554.0,
Fuel - Average Points,172nd,21.24,
Fuel - Best Result,351st,10th,x1
Fuel - Total,261st,191.2,
Points - Average Points,296th,329.67,
Points - Total,365th,2967,
Skidpad - Average Points,433rd,9.67,
Skidpad - Best Result,564th,28th,x1
Skidpad - Total,406th,87.0,
