Acceleration - Average Points,285th,30.58,
Acceleration - Best Result,240th,5th,x1
Acceleration - Total,174th,611.66,
AutoX - Average Points,489th,18.21,
AutoX - Best Result,187th,3rd,x1
AutoX - Total,321st,364.27,
Business Presentation - Average Points,102nd,56.98,
Business Presentation - Best Result,5th,1st,x6
Business Presentation - Total,109th,1139.66,
Cost - Average Points,194th,65.29,
Cost - Best Result,265th,4th,x1
Cost - Total,126th,1305.76,
Endurance - Average Points,393rd,37.42,
Endurance - Best Result,167th,3rd,x1
Endurance - Total,263rd,748.45,
Engineering Design - Average Points,255th,79.81,
Engineering Design - Best Result,208th,5th,x1
Engineering Design - Total,150th,1596.28,
Fuel - Average Points,376th,9.45,
Fuel - Best Result,236th,5th,x1
Fuel - Total,254th,188.92,
Points - Average Points,308th,321.95,
Points - Total,179th,6439,
Skidpad - Average Points,174th,24.18,
Skidpad - Best Result,221st,5th,x1
Skidpad - Total,120th,483.61,
