AutoX - Average Points,411th,27.44,
AutoX - Best Result,656th,42nd,x1
AutoX - Total,571st,54.87,
Business Presentation - Average Points,559th,39.2,
Business Presentation - Best Result,752nd,36th,x1
Business Presentation - Total,722nd,78.41,
Cost - Average Points,759th,23.85,
Cost - Best Result,678th,26th,x1
Cost - Total,760th,47.69,
Engineering Design - Average Points,577th,55.5,
Engineering Design - Best Result,797th,49th,x1
Engineering Design - Total,704th,111.0,
Points - Average Points,633rd,157.0,
Points - Total,710th,314,
Skidpad - Average Points,401st,10.88,
Skidpad - Best Result,598th,33rd,x1
Skidpad - Total,564th,21.75,
