Acceleration - Average Points,150th,42.05,
Acceleration - Best Result,106th,2nd,x2
Acceleration - Total,91st,967.04,
AutoX - Average Points,203rd,54.34,
AutoX - Best Result,309th,7th,x1
AutoX - Total,126th,1249.85,
Business Presentation - Average Points,272nd,50.42,
Business Presentation - Best Result,174th,2nd,x1
Business Presentation - Total,111th,1159.77,
Cost - Average Points,127th,68.32,
Cost - Best Result,313th,5th,x1
Cost - Total,97th,1571.31,
Endurance - Average Points,180th,90.49,
Endurance - Best Result,215th,4th,x1
Endurance - Total,122nd,2081.29,
Engineering Design - Average Points,297th,76.13,
Engineering Design - Best Result,297th,7th,x1
Engineering Design - Total,130th,1751.0,
Fuel - Average Points,89th,27.98,
Fuel - Best Result,209th,4th,x1
Fuel - Total,64th,643.5,
Points - Average Points,154th,433.13,
Points - Total,107th,9962,
Skidpad - Average Points,169th,24.82,
Skidpad - Best Result,132nd,2nd,x1
Skidpad - Total,104th,570.81,
