Acceleration - Average Points,472nd,16.8,
Acceleration - Best Result,557th,26th,x1
Acceleration - Total,589th,33.6,
AutoX - Average Points,597th,7.5,
AutoX - Best Result,581st,29th,x1
AutoX - Total,636th,15.0,
Business Presentation - Average Points,823rd,18.75,
Business Presentation - Best Result,841st,73rd,x1
Business Presentation - Total,783rd,37.5,
Cost - Average Points,853rd,-3.5,
Cost - Best Result,841st,74th,x1
Cost - Total,852nd,-7.0,
Endurance - Average Points,588th,5.5,
Endurance - Best Result,632nd,40th,x1
Endurance - Total,630th,11.0,
Engineering Design - Average Points,453rd,63.5,
Engineering Design - Best Result,806th,55th,x1
Engineering Design - Total,661st,127.0,
Points - Average Points,728th,119.5,
Points - Total,729th,239,
Skidpad - Average Points,352nd,12.5,
Skidpad - Best Result,556th,28th,x1
Skidpad - Total,546th,25.0,
