Acceleration - Average Points,216th,36.34,
Acceleration - Best Result,408th,11th,x1
Acceleration - Total,147th,726.87,
AutoX - Average Points,233rd,49.99,
AutoX - Best Result,312th,7th,x1
AutoX - Total,162nd,999.8,
Business Presentation - Average Points,405th,45.12,
Business Presentation - Best Result,412th,9th,x1
Business Presentation - Total,168th,902.44,
Cost - Average Points,162nd,66.81,
Cost - Best Result,230th,3rd,x1
Cost - Total,127th,1336.17,
Endurance - Average Points,283rd,61.88,
Endurance - Best Result,406th,11th,x1
Endurance - Total,188th,1237.54,
Engineering Design - Average Points,231st,82.15,
Engineering Design - Best Result,382nd,11th,x2
Engineering Design - Total,146th,1643.0,
Fuel - Average Points,209th,19.06,
Fuel - Best Result,451st,19th,x2
Fuel - Total,135th,381.2,
Points - Average Points,226th,376.25,
Points - Total,160th,7525,
Skidpad - Average Points,312th,15.3,
Skidpad - Best Result,478th,18th,x2
Skidpad - Total,210th,306.08,
