Business Presentation - Average Points,836th,19.06,
Business Presentation - Best Result,786th,41st,x1
Business Presentation - Total,799th,38.11,
Cost - Average Points,352nd,58.09,
Cost - Best Result,734th,33rd,x1
Cost - Total,642nd,116.18,
Endurance - Average Points,584th,6.5,
Endurance - Best Result,508th,17th,x1
Endurance - Total,632nd,13.0,
Engineering Design - Average Points,597th,54.11,
Engineering Design - Best Result,668th,28th,x1
Engineering Design - Total,714th,108.23,
Points - Average Points,681st,137.5,
Points - Total,727th,275,
