Acceleration - Average Points,479th,16.06,
Acceleration - Best Result,540th,23rd,x1
Acceleration - Total,355th,224.9,
AutoX - Average Points,419th,26.78,
AutoX - Best Result,553rd,26th,x1
AutoX - Total,317th,374.9,
Business Presentation - Average Points,548th,39.02,
Business Presentation - Best Result,668th,26th,x1
Business Presentation - Total,309th,546.33,
Cost - Average Points,186th,65.59,
Cost - Best Result,334th,6th,x1
Cost - Total,217th,918.26,
Endurance - Average Points,427th,31.93,
Endurance - Best Result,445th,14th,x1
Endurance - Total,340th,447.01,
Engineering Design - Average Points,557th,55.71,
Engineering Design - Best Result,549th,20th,x1
Engineering Design - Total,346th,780.0,
Fuel - Average Points,371st,9.81,
Fuel - Best Result,162nd,3rd,x1
Fuel - Total,306th,137.3,
Points - Average Points,442nd,247.79,
Points - Total,323rd,3469,
Skidpad - Average Points,553rd,4.23,
Skidpad - Best Result,552nd,27th,x1
Skidpad - Total,450th,59.2,
