Acceleration - Average Points,652nd,1.17,
Acceleration - Best Result,621st,42nd,x1
Acceleration - Total,658th,3.5,
AutoX - Average Points,297th,40.75,
AutoX - Best Result,464th,17th,x1
AutoX - Total,473rd,122.24,
Business Presentation - Average Points,703rd,31.36,
Business Presentation - Best Result,586th,20th,x1
Business Presentation - Total,654th,94.07,
Cost - Average Points,527th,46.67,
Cost - Best Result,666th,28th,x1
Cost - Total,596th,140.0,
Engineering Design - Average Points,676th,43.67,
Engineering Design - Best Result,506th,17th,x1
Engineering Design - Total,651st,131.0,
Points - Average Points,597th,167.0,
Points - Total,627th,501,
Skidpad - Average Points,567th,3.23,
Skidpad - Best Result,582nd,33rd,x1
Skidpad - Total,591st,9.68,
