Acceleration - Average Points,267th,32.18,
Acceleration - Best Result,232nd,5th,x1
Acceleration - Total,239th,418.28,
AutoX - Average Points,242nd,49.07,
AutoX - Best Result,103rd,1st,x1
AutoX - Total,231st,637.86,
Business Presentation - Average Points,64th,59.0,
Business Presentation - Best Result,108th,1st,x1
Business Presentation - Total,196th,766.96,
Cost - Average Points,8th,81.97,
Cost - Best Result,5th,1st,x5
Cost - Total,167th,1065.63,
Endurance - Average Points,251st,71.51,
Endurance - Best Result,120th,2nd,x1
Endurance - Total,220th,929.58,
Engineering Design - Average Points,39th,111.01,
Engineering Design - Best Result,130th,3rd,x1
Engineering Design - Total,168th,1443.18,
Fuel - Average Points,363rd,9.91,
Fuel - Best Result,328th,10th,x2
Fuel - Total,308th,128.77,
Points - Average Points,151st,435.46,
Points - Total,204th,5661,
Skidpad - Average Points,154th,24.98,
Skidpad - Best Result,123rd,2nd,x1
Skidpad - Total,181st,324.69,
