Acceleration - Average Points,171st,39.68,
Acceleration - Best Result,236th,6th,x2
Acceleration - Total,124th,753.98,
AutoX - Average Points,153rd,59.72,
AutoX - Best Result,400th,12th,x1
AutoX - Total,128th,1134.68,
Business Presentation - Average Points,278th,49.53,
Business Presentation - Best Result,208th,3rd,x1
Business Presentation - Total,145th,941.02,
Cost - Average Points,340th,58.61,
Cost - Best Result,261st,4th,x1
Cost - Total,154th,1113.53,
Endurance - Average Points,71st,133.67,
Endurance - Best Result,163rd,3rd,x1
Endurance - Total,86th,2539.81,
Engineering Design - Average Points,166th,89.63,
Engineering Design - Best Result,177th,4th,x1
Engineering Design - Total,125th,1703.0,
Fuel - Average Points,237th,17.17,
Fuel - Best Result,155th,3rd,x1
Fuel - Total,151st,326.27,
Points - Average Points,120th,469.05,
Points - Total,118th,8912,
Skidpad - Average Points,201st,20.91,
Skidpad - Best Result,242nd,6th,x1
Skidpad - Total,150th,397.37,
