Acceleration - Average Points,372nd,24.48,
Acceleration - Best Result,255th,5th,x1
Acceleration - Total,204th,563.14,
AutoX - Average Points,288th,43.02,
AutoX - Best Result,407th,11th,x1
AutoX - Total,165th,989.44,
Business Presentation - Average Points,445th,44.07,
Business Presentation - Best Result,308th,5th,x1
Business Presentation - Total,137th,1013.71,
Cost - Average Points,347th,58.28,
Cost - Best Result,412th,8th,x1
Cost - Total,126th,1340.34,
Endurance - Average Points,233rd,76.33,
Endurance - Best Result,288th,6th,x1
Endurance - Total,147th,1755.62,
Engineering Design - Average Points,282nd,77.52,
Engineering Design - Best Result,300th,7th,x1
Engineering Design - Total,125th,1782.87,
Fuel - Average Points,204th,19.29,
Fuel - Best Result,83rd,1st,x1
Fuel - Total,113th,443.56,
Points - Average Points,263rd,351.52,
Points - Total,149th,8085,
Skidpad - Average Points,394th,11.15,
Skidpad - Best Result,336th,9th,x1
Skidpad - Total,238th,256.46,
