Acceleration - Average Points,135th,43.95,
Acceleration - Best Result,140th,2nd,x1
Acceleration - Total,51st,1406.53,
AutoX - Average Points,67th,80.5,
AutoX - Best Result,162nd,2nd,x1
AutoX - Total,33rd,2576.12,
Business Presentation - Average Points,102nd,56.85,
Business Presentation - Best Result,40th,1st,x2
Business Presentation - Total,44th,1819.33,
Cost - Average Points,275th,61.72,
Cost - Best Result,355th,6th,x1
Cost - Total,57th,1975.19,
Endurance - Average Points,198th,85.31,
Endurance - Best Result,147th,3rd,x2
Endurance - Total,78th,2729.78,
Engineering Design - Average Points,119th,97.04,
Engineering Design - Best Result,110th,2nd,x1
Engineering Design - Total,50th,3105.32,
Fuel - Average Points,207th,19.16,
Fuel - Best Result,95th,2nd,x2
Fuel - Total,72nd,613.03,
Points - Average Points,99th,493.22,
Points - Total,48th,15783,
Skidpad - Average Points,118th,27.95,
Skidpad - Best Result,91st,1st,x1
Skidpad - Total,52nd,894.5,
