Acceleration - Average Points,276th,31.44,
Acceleration - Best Result,234th,5th,x1
Acceleration - Total,276th,345.87,
AutoX - Average Points,146th,60.57,
AutoX - Best Result,254th,6th,x1
AutoX - Total,224th,666.23,
Business Presentation - Average Points,484th,41.82,
Business Presentation - Best Result,416th,10th,x1
Business Presentation - Total,342nd,460.0,
Cost - Average Points,723rd,26.07,
Cost - Best Result,636th,25th,x1
Cost - Total,478th,286.72,
Endurance - Average Points,222nd,79.05,
Endurance - Best Result,405th,13th,x2
Endurance - Total,240th,869.53,
Engineering Design - Average Points,390th,68.89,
Engineering Design - Best Result,447th,14th,x1
Engineering Design - Total,338th,757.78,
Fuel - Average Points,234th,17.26,
Fuel - Best Result,469th,24th,x1
Fuel - Total,244th,189.82,
Points - Average Points,274th,339.45,
Points - Total,301st,3734,
Skidpad - Average Points,239th,18.17,
Skidpad - Best Result,267th,7th,x1
Skidpad - Total,253rd,199.87,
