Acceleration - Average Points,362nd,24.55,
Acceleration - Best Result,379th,11th,x1
Acceleration - Total,208th,515.5,
AutoX - Average Points,378th,30.89,
AutoX - Best Result,508th,21st,x1
AutoX - Total,226th,648.65,
Business Presentation - Average Points,299th,48.67,
Business Presentation - Best Result,382nd,9th,x1
Business Presentation - Total,127th,1022.16,
Cost - Average Points,67th,72.41,
Cost - Best Result,110th,1st,x1
Cost - Total,92nd,1520.71,
Endurance - Average Points,357th,42.6,
Endurance - Best Result,388th,11th,x1
Endurance - Total,232nd,894.6,
Engineering Design - Average Points,529th,57.76,
Engineering Design - Best Result,274th,7th,x1
Engineering Design - Total,221st,1213.0,
Fuel - Average Points,229th,17.43,
Fuel - Best Result,386th,13th,x1
Fuel - Total,135th,366.1,
Points - Average Points,327th,305.38,
Points - Total,174th,6413,
Skidpad - Average Points,387th,11.1,
Skidpad - Best Result,401st,14th,x1
Skidpad - Total,234th,233.0,
