Acceleration - Average Points,464th,17.1,
Acceleration - Best Result,567th,29th,x1
Acceleration - Total,543rd,51.29,
AutoX - Average Points,576th,8.64,
AutoX - Best Result,581st,30th,x1
AutoX - Total,607th,25.93,
Business Presentation - Average Points,139th,55.21,
Business Presentation - Best Result,310th,6th,x1
Business Presentation - Total,560th,165.64,
Cost - Average Points,241st,63.43,
Cost - Best Result,331st,6th,x1
Cost - Total,556th,190.29,
Endurance - Average Points,160th,97.09,
Endurance - Best Result,491st,17th,x1
Endurance - Total,401st,291.26,
Engineering Design - Average Points,600th,51.33,
Engineering Design - Best Result,646th,28th,x1
Engineering Design - Total,618th,154.0,
Fuel - Average Points,57th,33.33,
Fuel - Best Result,75th,1st,x1
Fuel - Total,344th,100.0,
Points - Average Points,269th,344.0,
Points - Total,511th,1032,
Skidpad - Average Points,248th,17.73,
Skidpad - Best Result,504th,22nd,x1
Skidpad - Total,458th,53.19,
