Acceleration - Average Points,519th,13.6,
Acceleration - Best Result,361st,9th,x1
Acceleration - Total,319th,299.09,
AutoX - Average Points,546th,12.12,
AutoX - Best Result,448th,13th,x1
AutoX - Total,376th,266.65,
Business Presentation - Average Points,690th,33.34,
Business Presentation - Best Result,580th,17th,x1
Business Presentation - Total,240th,733.39,
Cost - Average Points,394th,55.51,
Cost - Best Result,290th,5th,x2
Cost - Total,145th,1221.18,
Endurance - Average Points,423rd,33.21,
Endurance - Best Result,527th,18th,x1
Endurance - Total,271st,730.55,
Engineering Design - Average Points,601st,53.83,
Engineering Design - Best Result,227th,5th,x1
Engineering Design - Total,244th,1184.34,
Fuel - Average Points,882nd,-2.96,
Fuel - Best Result,425th,15th,x1
Fuel - Total,883rd,-65.13,
Points - Average Points,547th,194.0,
Points - Total,280th,4268,
Skidpad - Average Points,565th,4.17,
Skidpad - Best Result,400th,12th,x1
Skidpad - Total,400th,91.78,
