Acceleration - Average Points,638th,3.5,
Acceleration - Best Result,602nd,32nd,x1
Acceleration - Total,657th,7.0,
AutoX - Average Points,279th,44.16,
AutoX - Best Result,621st,34th,x1
AutoX - Total,526th,88.32,
Business Presentation - Average Points,822nd,21.42,
Business Presentation - Best Result,694th,27th,x1
Business Presentation - Total,784th,42.83,
Cost - Average Points,697th,33.12,
Cost - Best Result,660th,24th,x1
Cost - Total,725th,66.23,
Endurance - Average Points,438th,30.0,
Endurance - Best Result,494th,16th,x1
Endurance - Total,551st,60.0,
Engineering Design - Average Points,698th,43.75,
Engineering Design - Best Result,721st,35th,x1
Engineering Design - Total,741st,87.5,
Points - Average Points,583rd,177.5,
Points - Total,689th,355,
Skidpad - Average Points,622nd,1.25,
Skidpad - Best Result,566th,28th,x1
Skidpad - Total,658th,2.5,
