Acceleration - Average Points,1st,28.93,
Acceleration - Best Result,1st,5th,x1
Acceleration - Total,1st,405.04,
AutoX - Average Points,1st,21.65,
AutoX - Best Result,1st,6th,x1
AutoX - Total,1st,303.04,
Business Presentation - Average Points,2nd,40.96,
Business Presentation - Best Result,1st,9th,x1
Business Presentation - Total,1st,573.42,
Cost - Average Points,2nd,51.57,
Cost - Best Result,1st,7th,x1
Cost - Total,1st,722.0,
Endurance - Average Points,1st,43.07,
Endurance - Best Result,1st,4th,x1
Endurance - Total,1st,602.92,
Engineering Design - Average Points,2nd,51.94,
Engineering Design - Best Result,1st,10th,x1
Engineering Design - Total,1st,727.18,
Fuel - Average Points,1st,11.59,
Fuel - Best Result,1st,3rd,x1
Fuel - Total,1st,162.3,
Points - Average Points,1st,254.57,
Points - Total,1st,3564,
Skidpad - Average Points,1st,12.81,
Skidpad - Best Result,1st,6th,x1
Skidpad - Total,1st,179.3,
